Date,AAPL,AMZN,BRK-B,GOOG,GOOGL,JNJ,MSFT,TSLA,UNH,XOM
4/30/2020,74.887146,115.8663788,195.260376,65.92856598,67.25843048,136.1941376,175.3448944,60.05763626,278.9547424,37.73517227
5/1/2020,76.18293762,117.1728287,194.823761,66.42186737,66.92202759,136.5696259,178.2102356,60.8588562,276.9342041,37.54314423
5/4/2020,74.68040466,114.5307922,191.094574,64.72683716,66.19335938,134.6512604,172.3355103,58.96207428,275.1260681,37.98547745
5/5/2020,74.96115875,114.696312,190.1561432,64.63134766,66.88187408,134.3894348,173.1066589,57.84316254,276.7043457,38.07799911
5/6/2020,76.27084351,116.5434113,189.6026611,65.89962006,68.02562714,134.5119324,177.0388336,58.42869949,277.8363953,38.05184937
5/7/2020,76.61361694,116.9287033,188.1789093,65.92845154,68.71234131,134.0441132,177.7281189,57.14077377,279.0679321,38.23495865
5/8/2020,76.70008087,117.7510605,187.7729187,66.59384918,69.46561432,133.8710785,179.7680817,56.43310928,278.1802368,38.19467163
5/11/2020,77.21244049,119.1626968,188.8686523,67.54128265,70.27483368,134.3634644,181.8099976,56.78031921,278.1575928,38.49588394
5/12/2020,77.77729034,119.653038,188.4705658,67.6085434,70.59405518,134.1045685,182.534729,56.58208084,277.9165039,38.72822571
5/13/2020,77.99681091,119.9871826,187.9275513,67.63488007,70.69432068,133.9752808,182.7475433,56.48696518,277.7583313,38.89077759
5/14/2020,77.71318817,118.7180328,186.1560669,66.68215179,69.79065704,132.9422302,180.0554352,56.73712158,275.3210144,38.91266251
5/15/2020,77.54675293,119.625824,186.8777924,66.802742,70.01300049,132.5675964,180.0713959,58.13233948,274.5673828,38.95563126
5/18/2020,78.42768097,122.4585648,187.5841675,67.70332336,70.50405884,133.9945984,182.8147583,61.78261185,274.3700562,38.76519394
5/19/2020,80.12792206,125.0974045,190.2580872,69.20456696,72.10088348,134.3588104,184.4049835,64.6769104,277.2338867,39.11946487
5/20/2020,80.59498596,125.7909775,191.1043854,69.30045319,72.47164917,133.1979828,184.5289459,65.0051651,278.0839233,39.33734131
